ID type condition trial sound_dist concept_dist item sameDiff answer correct native gender age
subject_4 Test 5 1 maximal different bird NA 1 1 other F 5
subject_4 Test 5 1 maximal different bird NA 1 1 other F 5
subject_4 Test 5 1 maximal different bird NA 1 1 other F 5
subject_4 Test 5 2 maximal different bird NA 1 1 other F 5
subject_4 Test 5 2 maximal different bird NA 0 0 other F 5
subject_4 Test 5 2 maximal different bird NA 0 0 other F 5
subject_4 Test 5 2 maximal different bird NA 1 1 other F 5
subject_4 Test 4 1 different different bug NA 0 0 other F 5
subject_4 Test 4 1 different different bug NA 1 1 other F 5
subject_4 Test 4 1 different different bug NA 1 0 other F 5
subject_4 Test 4 1 different different bug NA 0 1 other F 5
subject_4 Test 4 2 different different bug NA 1 0 other F 5
subject_4 Test 4 2 different different bug NA 0 1 other F 5
subject_4 Test 4 2 different different bug NA 1 1 other F 5
subject_4 Test 4 2 different different bug NA 0 0 other F 5
subject_4 Test 2 1 maximal similar bug NA 0 0 other F 5
subject_4 Test 2 1 maximal similar bug NA 0 0 other F 5
subject_4 Test 2 1 maximal similar bug NA 1 1 other F 5
subject_4 Test 2 1 maximal similar bug NA 1 1 other F 5
subject_4 Test 2 2 maximal similar bug NA 1 1 other F 5
subject_4 Test 2 2 maximal similar bug NA 1 1 other F 5
subject_4 Test 2 2 maximal similar bug NA 1 1 other F 5
subject_4 Test 2 2 maximal similar bug NA 1 1 other F 5
subject_4 Test 3 1 similar different fish NA 0 0 other F 5
subject_4 Test 3 1 similar different fish NA 0 1 other F 5
subject_4 Test 3 1 similar different fish NA 1 0 other F 5
subject_4 Test 3 1 similar different fish NA 0 1 other F 5
subject_4 Test 3 2 similar different fish NA 0 1 other F 5
subject_4 Test 3 2 similar different fish NA 0 1 other F 5
subject_4 Test 3 2 similar different fish NA 0 1 other F 5
subject_4 Test 3 2 similar different fish NA 0 1 other F 5
subject_5 Test_pre joint NA NA NA  NA 0 NA other M 5
subject_5 Test_pre joint NA NA NA  NA 0 NA other M 5
subject_5 Test 0 1 similar similar fish NA 0 0 other M 5
subject_5 Test 0 1 similar similar fish NA 0 0 other M 5
subject_5 Test 0 1 similar similar fish NA 1 1 other M 5
subject_5 Test 0 1 similar similar fish NA 1 1 other M 5
subject_5 Test 0 2 similar similar fish NA 0 0 other M 5
subject_5 Test 0 2 similar similar fish NA 0 0 other M 5
subject_5 Test 0 2 similar similar fish NA 1 1 other M 5
subject_5 Test 0 2 similar similar fish NA 1 1 other M 5
subject_5 Test 1 1 different similar bug NA 0 1 other M 5
subject_5 Test 1 1 different similar bug NA 1 1 other M 5
subject_5 Test 1 1 different similar bug NA 0 0 other M 5
subject_5 Test 1 1 different similar bug NA 0 0 other M 5
subject_5 Test 1 2 different similar bug NA 0 1 other M 5
subject_5 Test 1 2 different similar bug NA 1 1 other M 5
subject_5 Test 1 2 different similar bug NA 1 1 other M 5
subject_5 Test 1 2 different similar bug NA 0 1 other M 5
subject_5 Test 4 1 different different bird NA 0 1 other M 5
subject_5 Test 4 1 different different bird NA 0 1 other M 5
subject_5 Test 4 1 different different bird NA 0 0 other M 5
subject_5 Test 4 1 different different bird NA 0 0 other M 5
subject_5 Test 4 2 different different bird NA 0 1 other M 5
subject_5 Test 4 2 different different bird NA 0 1 other M 5
subject_5 Test 4 2 different different bird NA 1 1 other M 5
subject_5 Test 4 2 different different bird NA 1 1 other M 5
subject_5 Test 2 1 maximal similar bird NA 0 0 other M 5
subject_5 Test 2 1 maximal similar bird NA 0 1 other M 5
subject_5 Test 2 1 maximal similar bird NA 0 0 other M 5
subject_5 Test 2 1 maximal similar bird NA 1 1 other M 5
subject_5 Test 2 2 maximal similar bird NA 0 0 other M 5
subject_5 Test 2 2 maximal similar bird NA 0 0 other M 5
subject_5 Test 2 2 maximal similar bird NA 0 0 other M 5
subject_5 Test 2 2 maximal similar bird NA 0 0 other M 5
subject_5 Test 3 1 similar different flower NA 1 0 other M 5
subject_5 Test 3 1 similar different flower NA 0 1 other M 5
subject_5 Test 3 1 similar different flower NA 0 1 other M 5
subject_5 Test 3 1 similar different flower NA 1 0 other M 5
